Surat Ar Rahman
Ayat,Arab,Bacaan,Arti
Ar-Rahman Ayat 1,اَلرَّحْمٰنُۙ ,ar-raḥmān,"(Allah) Yang Maha Pengasih,"
Ar-Rahman Ayat 2,عَلَّمَ الْقُرْاٰنَۗ ,'allamal-qur`ān,Yang telah mengajarkan Al-Qur'an.
Ar-Rahman Ayat 3,خَلَقَ الْاِنْسَانَۙ ,khalaqal-insān,"Dia menciptakan manusia, "
Ar-Rahman Ayat 4,عَلَّمَهُ الْبَيَانَ ,'allamahul-bayān,mengajarnya pandai berbicara.
Ar-Rahman Ayat 5,اَلشَّمْسُ وَالْقَمَرُ بِحُسْبَانٍۙ ,asy-syamsu wal-qamaru biḥusbān,"Matahari dan bulan beredar menurut perhitungan,"
Ar-Rahman Ayat 6,وَّالنَّجْمُ وَالشَّجَرُ يَسْجُدَانِ ,wan-najmu wasy-syajaru yasjudān,"dan tetumbuhan dan pepohonan, keduanya tunduk (kepada-Nya). "
Ar-Rahman Ayat 7,وَالسَّمَاۤءَ رَفَعَهَا وَوَضَعَ الْمِيْزَانَۙ ,was-samā`a rafa'ahā wa waḍa'al-mīzān,"Dan langit telah ditinggikan-Nya dan Dia ciptakan keseimbangan,"
Ar-Rahman Ayat 8,اَلَّا تَطْغَوْا فِى الْمِيْزَانِ ,allā taṭgau fil-mīzān,"agar kamu jangan merusak keseimbangan itu, "
Ar-Rahman Ayat 9,وَاَقِيْمُوا الْوَزْنَ بِالْقِسْطِ وَلَا تُخْسِرُوا الْمِيْزَانَ ,wa aqīmul-wazna bil-qisṭi wa lā tukhsirul-mīzān,dan tegakkanlah keseimbangan itu dengan adil dan janganlah kamu mengurangi keseimbangan itu. 
Ar-Rahman Ayat 10,وَالْاَرْضَ وَضَعَهَا لِلْاَنَامِۙ ,wal-arḍa waḍa'ahā lil-anām,"Dan bumi telah dibentangkan-Nya untuk makhluk(-Nya), "
Ar-Rahman Ayat 11,فِيْهَا فَاكِهَةٌ وَّالنَّخْلُ ذَاتُ الْاَكْمَامِۖ ,fīhā fākihatuw wan-nakhlu żātul-akmām,"di dalamnya ada buah-buahan dan pohon kurma yang mempunyai kelopak mayang, "
