List TV Series
Judul,Link,Eps,Poster
Meow the Secret Boy Season 1 (2020),https://sobatkeren.club/series/meow-the-secret-boy-season-1-2020/,2 eps,https://image.tmdb.org/t/p/w185/rwWiYRlDLECxkHTQ2kkkr2MkqLo.jpg 
Find Me in Your Memory Season 1 (2020),https://sobatkeren.club/series/find-me-in-your-memory-season-1-2020/,4 eps,https://image.tmdb.org/t/p/w185/u7bCi8AoLID1ykXogzL5a4mAL0o.jpg 
Star Trek Picard Season 1 (2020),https://sobatkeren.club/series/star-trek-picard-season-1-2020/,10 eps,https://image.tmdb.org/t/p/w185/nIlAKIrLKxOeoEnc0Urb65yNCp.jpg 
Motherland Fort Salem Season 1 (2020),https://sobatkeren.club/series/motherland-fort-salem-season-1-2020/,2 eps,https://image.tmdb.org/t/p/w185/wxPxeGw7GRxxChlJrq5UlACjXDf.jpg 
The Magicians Season 5 (2020),https://sobatkeren.club/series/the-magicians-season-5-2020/,12 eps,https://image.tmdb.org/t/p/w185/A66dZN98BPEYeFQAhNdNCIXa57d.jpg 
SEAL Team Season 3 (2019),https://sobatkeren.club/series/seal-team-season-3-2019/,16 eps,https://image.tmdb.org/t/p/w185/v0G8cbPtGoiTBFb4HW1hAJJFMol.jpg 
Freud Season 1 (2020),https://sobatkeren.club/series/freud-season-1-2020/,8 eps,https://image.tmdb.org/t/p/w185/mGcb1NOnBVvspIYeuBGPadPN0Rv.jpg 
Memorist Season 1 (2020),https://sobatkeren.club/series/memorist-season-1-2020/,5 eps,https://image.tmdb.org/t/p/w185/eC5lQovhFgJma2lqkKvM1XItiZB.jpg 
Little Fires Everywhere Season 1 (2020),https://sobatkeren.club/series/little-fires-everywhere-season-1-2020/,4 eps,https://image.tmdb.org/t/p/w185/wuVngWpJNrhojvkbYibosycSUKy.jpg 
The English Game Season 1 (2020),https://sobatkeren.club/series/the-english-game-season-1-2020/,6 eps,https://image.tmdb.org/t/p/w185/vvOccQ5Mcn665KXS2KSnldhpvva.jpg 
Project Blue Book Season 2 (2020),https://sobatkeren.club/series/project-blue-book-season-2-2020/,10 eps,https://image.tmdb.org/t/p/w185/rqrzjT5nc7mTD5IKVMLRhLeyzgD.jpg 
FBI Season 2 (2019),https://sobatkeren.club/series/fbi-season-2-2019/,18 eps,https://image.tmdb.org/t/p/w185/nKulwcleWvL9Aoa9VLIT0TQpHqC.jpg 
FBI Most Wanted Season 1 (2020),https://sobatkeren.club/series/fbi-most-wanted-season-1-2020/,9 eps,https://image.tmdb.org/t/p/w185/tOzp2EFBmKGGFhmJtDa6Npvpe4P.jpg 
The Resident Season 3 (2019),https://sobatkeren.club/series/the-resident-season-3-2019/,19 eps,https://image.tmdb.org/t/p/w185/k1Df8EkXpsEogBj1FXbLfn2mm4i.jpg 
A Piece of Your Mind Season 1 (2020),https://sobatkeren.club/series/a-piece-of-your-mind-season-1-2020/,2 eps,https://image.tmdb.org/t/p/w185/u25Bd08J1kdsLXdHymXkFJsseV7.jpg 
365 Repeat the Year Season 1 (2020),https://sobatkeren.club/series/365-repeat-the-year-season-1-2020/,2 eps,https://image.tmdb.org/t/p/w185/w1LyWBjxVv0hns4w8NekwWA7Mll.jpg 
When the Weather is Fine Season 1 (2020),https://sobatkeren.club/series/when-the-weather-is-fine-season-1-2020/,8 eps,https://image.tmdb.org/t/p/w185/2SpLILOO9ODAi2te1xN3C0dbED9.jpg 
Nobody Knows Season 1 (2020),https://sobatkeren.club/series/nobody-knows-season-1-2020/,8 eps,https://image.tmdb.org/t/p/w185/e9OuMHRH3TwtCn1Da9UV3VWhjh5.jpg 
9-1-1 Season 3 (2019),https://sobatkeren.club/series/9-1-1-season-3-2019/,12 eps,https://image.tmdb.org/t/p/w185/htX1x0gq8Y5bN9vtGzERf9nbOTK.jpg 
The Plot Against America Season 1 (2020),https://sobatkeren.club/series/the-plot-against-america-season-1-2020/,2 eps,https://image.tmdb.org/t/p/w185/rC5GUHvKxlk3WPyCh4mQ5q6HDxG.jpg 
Briarpatch Season 1 (2020),https://sobatkeren.club/series/briarpatch-season-1-2020/,7 eps,https://image.tmdb.org/t/p/w185/y8b5U6N1UWmIvnQVR5b2JFvVQoO.jpg 
The Letter for the King Season 1 (2020),https://sobatkeren.club/series/the-letter-for-the-king-season-1-2020/,6 eps,https://image.tmdb.org/t/p/w185/4Pwp6tqn0bKRQsbisuJ0t5rBub0.jpg 
Feel Good Season 1 (2020),https://sobatkeren.club/series/feel-good-season-1-2020/,6 eps,https://image.tmdb.org/t/p/w185/9FrKOIebq6uYDPtSadrOp3Pipl3.jpg 
Better Call Saul Season 5 (2020),https://sobatkeren.club/series/better-call-saul-season-5-2020/,6 eps,https://image.tmdb.org/t/p/w185/cU0kAjGjA6d2XjBzJMUIEVKiGDb.jpg 
