judul,author,image,amazon_url
In Search of Lost Time ,Marcel Proust,https://images-na.ssl-images-amazon.com/images/I/51Wrlbko5QL._SL160_.jpg,https://www.amazon.com/Swanns-Way-Search-Penguin-Classics/dp/0142437964?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0142437964
Ulysses,James Joyce,http://ecx.images-amazon.com/images/I/41uosf2H2JL._SL160_.jpg,https://www.amazon.com/Ulysses-Wordsworth-Classics-James-Joyce/dp/1840226358?SubscriptionId=1RN7ZZ7D7SDQHR7TRJG2&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1840226358
Don Quixote,Miguel de Cervantes,https://images-na.ssl-images-amazon.com/images/I/51nBHIQv6zL._SL160_.jpg,https://www.amazon.com/Quixote-Penguin-Classics-Cervantes-Saavedra/dp/0142437239?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0142437239
The Great Gatsby ,F. Scott Fitzgerald,https://images-na.ssl-images-amazon.com/images/I/41iers%2BHLSL._SL160_.jpg,https://www.amazon.com/Great-Gatsby-F-Scott-Fitzgerald/dp/0743273567?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0743273567
One Hundred Years of Solitude ,Gabriel Garcia Marquez,https://images-na.ssl-images-amazon.com/images/I/51tkcSAhSDL._SL160_.jpg,https://www.amazon.com/Hundred-Solitude-Harper-Perennial-Classics/dp/0060883286?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0060883286
Moby Dick,Herman Melville,https://images-na.ssl-images-amazon.com/images/I/41WMBltiqdL._SL160_.jpg,https://www.amazon.com/Moby-Wordsworth-Classics-Herman-Melville/dp/1853260088?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1853260088
War and Peace,Leo Tolstoy,https://images-na.ssl-images-amazon.com/images/I/51J1nb00FLL._SL160_.jpg,https://www.amazon.com/War-Peace-Vintage-Classics-Tolstoy/dp/1400079985?SubscriptionId=1RN7ZZ7D7SDQHR7TRJG2&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=1400079985
Lolita ,Vladimir Nabokov,https://images-na.ssl-images-amazon.com/images/I/41beWU7rn8L._SL160_.jpg,https://www.amazon.com/Lolita-Vladimir-Nabokov/dp/0679723161?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0679723161
Hamlet,William Shakespeare,https://images-na.ssl-images-amazon.com/images/I/51dhOwUuI3L._SL160_.jpg,https://www.amazon.com/Hamlet-Folger-Library-Shakespeare-William/dp/074347712X?SubscriptionId=AKIAIOI3S2F7L5XAVOBA&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=074347712X
The Catcher in the Rye,J. D. Salinger,http://ecx.images-amazon.com/images/I/41gTM5%2BdbfL._SL160_.jpg,https://www.amazon.com/Catcher-Rye-J-D-Salinger/dp/0316769487?SubscriptionId=1RN7ZZ7D7SDQHR7TRJG2&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0316769487
The Odyssey,Homer,https://images-na.ssl-images-amazon.com/images/I/51FR8mSgqoL._SL160_.jpg,https://www.amazon.com/Odyssey-Homer/dp/0393089053?SubscriptionId=1RN7ZZ7D7SDQHR7TRJG2&tag=shanesherman-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=0393089053
